Name;URL;Price
Асимметричный свитер с высоким воротом ;https://www.bershka.com/by/%D0%B0%D1%81%D0%B8%D0%BC%D0%BC%D0%B5%D1%82%D1%80%D0%B8%D1%87%D0%BD%D1%8B%D0%B9-%D1%81%D0%B2%D0%B8%D1%82%D0%B5%D1%80-%D1%81-%D0%B2%D1%8B%D1%81%D0%BE%D0%BA%D0%B8%D0%BC-%D0%B2%D0%BE%D1%80%D0%BE%D1%82%D0%BE%D0%BC-c0p102945113.html?colorId=800;69.99РУБ
Асимметричный свитер с высоким воротом ;https://www.bershka.com/by/%D0%B0%D1%81%D0%B8%D0%BC%D0%BC%D0%B5%D1%82%D1%80%D0%B8%D1%87%D0%BD%D1%8B%D0%B9-%D1%81%D0%B2%D0%B8%D1%82%D0%B5%D1%80-%D1%81-%D0%B2%D1%8B%D1%81%D0%BE%D0%BA%D0%B8%D0%BC-%D0%B2%D0%BE%D1%80%D0%BE%D1%82%D0%BE%D0%BC-c0p102945109.html?colorId=250;69.99РУБ
Свитер с V-образным вырезом ;https://www.bershka.com/by/%D1%81%D0%B2%D0%B8%D1%82%D0%B5%D1%80-%D1%81-v-%D0%BE%D0%B1%D1%80%D0%B0%D0%B7%D0%BD%D1%8B%D0%BC-%D0%B2%D1%8B%D1%80%D0%B5%D0%B7%D0%BE%D0%BC-c0p103067029.html?colorId=800;62.99РУБ
Свитер с V-образным вырезом ;https://www.bershka.com/by/%D1%81%D0%B2%D0%B8%D1%82%D0%B5%D1%80-%D1%81-v-%D0%BE%D0%B1%D1%80%D0%B0%D0%B7%D0%BD%D1%8B%D0%BC-%D0%B2%D1%8B%D1%80%D0%B5%D0%B7%D0%BE%D0%BC-c0p103067027.html?colorId=250;62.99РУБ
Двухцветный свитер асимметричного кроя ;https://www.bershka.com/by/%D0%B4%D0%B2%D1%83%D1%85%D1%86%D0%B2%D0%B5%D1%82%D0%BD%D1%8B%D0%B9-%D1%81%D0%B2%D0%B8%D1%82%D0%B5%D1%80-%D0%B0%D1%81%D0%B8%D0%BC%D0%BC%D0%B5%D1%82%D1%80%D0%B8%D1%87%D0%BD%D0%BE%D0%B3%D0%BE-%D0%BA%D1%80%D0%BE%D1%8F-c0p103009645.html?colorId=743;69.99РУБ
Двухцветный свитер ;https://www.bershka.com/by/%D0%B4%D0%B2%D1%83%D1%85%D1%86%D0%B2%D0%B5%D1%82%D0%BD%D1%8B%D0%B9-%D1%81%D0%B2%D0%B8%D1%82%D0%B5%D1%80-c0p102970183.html?colorId=742;62.99РУБ
Свитер со швами ;https://www.bershka.com/by/%D1%81%D0%B2%D0%B8%D1%82%D0%B5%D1%80-%D1%81%D0%BE-%D1%88%D0%B2%D0%B0%D0%BC%D0%B8-c0p102945758.html?colorId=800;41.99РУБ
Жилеты
Футболки
Рубашки
Куртка-рубашка комфортного кроя из мягкой ткани ;https://www.bershka.com/by/%D0%BA%D1%83%D1%80%D1%82%D0%BA%D0%B0-%D1%80%D1%83%D0%B1%D0%B0%D1%88%D0%BA%D0%B0-%D0%BA%D0%BE%D0%BC%D1%84%D0%BE%D1%80%D1%82%D0%BD%D0%BE%D0%B3%D0%BE-%D0%BA%D1%80%D0%BE%D1%8F-%D0%B8%D0%B7-%D0%BC%D1%8F%D0%B3%D0%BA%D0%BE%D0%B9-%D1%82%D0%BA%D0%B0%D0%BD%D0%B8-c0p102991598.html?colorId=830;69.99РУБ
Плотная рубашка из фланели с карманами ;https://www.bershka.com/by/%D0%BF%D0%BB%D0%BE%D1%82%D0%BD%D0%B0%D1%8F-%D1%80%D1%83%D0%B1%D0%B0%D1%88%D0%BA%D0%B0-%D0%B8%D0%B7-%D1%84%D0%BB%D0%B0%D0%BD%D0%B5%D0%BB%D0%B8-%D1%81-%D0%BA%D0%B0%D1%80%D0%BC%D0%B0%D0%BD%D0%B0%D0%BC%D0%B8-c0p104787702.html?colorId=802;48.99РУБ
Плотная рубашка из фланели с карманами ;https://www.bershka.com/by/%D0%BF%D0%BB%D0%BE%D1%82%D0%BD%D0%B0%D1%8F-%D1%80%D1%83%D0%B1%D0%B0%D1%88%D0%BA%D0%B0-%D0%B8%D0%B7-%D1%84%D0%BB%D0%B0%D0%BD%D0%B5%D0%BB%D0%B8-%D1%81-%D0%BA%D0%B0%D1%80%D0%BC%D0%B0%D0%BD%D0%B0%D0%BC%D0%B8-c0p104787701.html?colorId=600;48.99РУБ
Куртка-рубашка оверсайз в клетку с капюшоном ;https://www.bershka.com/by/%D0%BA%D1%83%D1%80%D1%82%D0%BA%D0%B0-%D1%80%D1%83%D0%B1%D0%B0%D1%88%D0%BA%D0%B0-%D0%BE%D0%B2%D0%B5%D1%80%D1%81%D0%B0%D0%B9%D0%B7-%D0%B2-%D0%BA%D0%BB%D0%B5%D1%82%D0%BA%D1%83-%D1%81-%D0%BA%D0%B0%D0%BF%D1%8E%D1%88%D0%BE%D0%BD%D0%BE%D0%BC-c0p103494148.html?colorId=800&stylismId=3;111.30РУБ
Брюки
Джоггеры карго с несколькими карманами ;https://www.bershka.com/by/%D0%B4%D0%B6%D0%BE%D0%B3%D0%B3%D0%B5%D1%80%D1%8B-%D0%BA%D0%B0%D1%80%D0%B3%D0%BE-%D1%81-%D0%BD%D0%B5%D1%81%D0%BA%D0%BE%D0%BB%D1%8C%D0%BA%D0%B8%D0%BC%D0%B8-%D0%BA%D0%B0%D1%80%D0%BC%D0%B0%D0%BD%D0%B0%D0%BC%D0%B8-c0p104787679.html?colorId=800;111.30РУБ
Брюки-карго свободного кроя из хлопка ;https://www.bershka.com/by/%D0%B1%D1%80%D1%8E%D0%BA%D0%B8-%D0%BA%D0%B0%D1%80%D0%B3%D0%BE-%D1%81%D0%B2%D0%BE%D0%B1%D0%BE%D0%B4%D0%BD%D0%BE%D0%B3%D0%BE-%D0%BA%D1%80%D0%BE%D1%8F-%D0%B8%D0%B7-%D1%85%D0%BB%D0%BE%D0%BF%D0%BA%D0%B0-c0p102964091.html?colorId=800;71.40РУБ
Брюки свободного кроя с боковым карманом ;https://www.bershka.com/by/%D0%B1%D1%80%D1%8E%D0%BA%D0%B8-%D1%81%D0%B2%D0%BE%D0%B1%D0%BE%D0%B4%D0%BD%D0%BE%D0%B3%D0%BE-%D0%BA%D1%80%D0%BE%D1%8F-%D1%81-%D0%B1%D0%BE%D0%BA%D0%BE%D0%B2%D1%8B%D0%BC-%D0%BA%D0%B0%D1%80%D0%BC%D0%B0%D0%BD%D0%BE%D0%BC-c0p103033281.html?colorId=505;69.99РУБ
Брюки свободного кроя с боковым карманом ;https://www.bershka.com/by/%D0%B1%D1%80%D1%8E%D0%BA%D0%B8-%D1%81%D0%B2%D0%BE%D0%B1%D0%BE%D0%B4%D0%BD%D0%BE%D0%B3%D0%BE-%D0%BA%D1%80%D0%BE%D1%8F-%D1%81-%D0%B1%D0%BE%D0%BA%D0%BE%D0%B2%D1%8B%D0%BC-%D0%BA%D0%B0%D1%80%D0%BC%D0%B0%D0%BD%D0%BE%D0%BC-c0p103033287.html?colorId=742;69.99РУБ
Брюки свободного кроя с боковым карманом ;https://www.bershka.com/by/%D0%B1%D1%80%D1%8E%D0%BA%D0%B8-%D1%81%D0%B2%D0%BE%D0%B1%D0%BE%D0%B4%D0%BD%D0%BE%D0%B3%D0%BE-%D0%BA%D1%80%D0%BE%D1%8F-%D1%81-%D0%B1%D0%BE%D0%BA%D0%BE%D0%B2%D1%8B%D0%BC-%D0%BA%D0%B0%D1%80%D0%BC%D0%B0%D0%BD%D0%BE%D0%BC-c0p103033257.html?colorId=800;69.99РУБ
Брюки кроя slim из мягкой ткани с эластичными вставками ;https://www.bershka.com/by/%D0%B1%D1%80%D1%8E%D0%BA%D0%B8-%D0%BA%D1%80%D0%BE%D1%8F-slim-%D0%B8%D0%B7-%D0%BC%D1%8F%D0%B3%D0%BA%D0%BE%D0%B9-%D1%82%D0%BA%D0%B0%D0%BD%D0%B8-%D1%81-%D1%8D%D0%BB%D0%B0%D1%81%D1%82%D0%B8%D1%87%D0%BD%D1%8B%D0%BC%D0%B8-%D0%B2%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B0%D0%BC%D0%B8-c0p102991102.html?colorId=812;48.99РУБ
Брюки кроя slim из мягкой ткани с эластичными вставками ;https://www.bershka.com/by/%D0%B1%D1%80%D1%8E%D0%BA%D0%B8-%D0%BA%D1%80%D0%BE%D1%8F-slim-%D0%B8%D0%B7-%D0%BC%D1%8F%D0%B3%D0%BA%D0%BE%D0%B9-%D1%82%D0%BA%D0%B0%D0%BD%D0%B8-%D1%81-%D1%8D%D0%BB%D0%B0%D1%81%D1%82%D0%B8%D1%87%D0%BD%D1%8B%D0%BC%D0%B8-%D0%B2%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B0%D0%BC%D0%B8-c0p102991098.html?colorId=711;48.99РУБ
Брюки-полуджоггеры свободного кроя ;https://www.bershka.com/by/%D0%B1%D1%80%D1%8E%D0%BA%D0%B8-%D0%BF%D0%BE%D0%BB%D1%83%D0%B4%D0%B6%D0%BE%D0%B3%D0%B3%D0%B5%D1%80%D1%8B-%D1%81%D0%B2%D0%BE%D0%B1%D0%BE%D0%B4%D0%BD%D0%BE%D0%B3%D0%BE-%D0%BA%D1%80%D0%BE%D1%8F-c0p103022786.html?colorId=810;69.99РУБ
Брюки кроя slim из мягкой ткани с эластичными вставками ;https://www.bershka.com/by/%D0%B1%D1%80%D1%8E%D0%BA%D0%B8-%D0%BA%D1%80%D0%BE%D1%8F-slim-%D0%B8%D0%B7-%D0%BC%D1%8F%D0%B3%D0%BA%D0%BE%D0%B9-%D1%82%D0%BA%D0%B0%D0%BD%D0%B8-%D1%81-%D1%8D%D0%BB%D0%B0%D1%81%D1%82%D0%B8%D1%87%D0%BD%D1%8B%D0%BC%D0%B8-%D0%B2%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B0%D0%BC%D0%B8-c0p102991096.html?colorId=800;48.99РУБ
Брюки-джоггеры в стиле карго свободного кроя ;https://www.bershka.com/by/%D0%B1%D1%80%D1%8E%D0%BA%D0%B8-%D0%B4%D0%B6%D0%BE%D0%B3%D0%B3%D0%B5%D1%80%D1%8B-%D0%B2-%D1%81%D1%82%D0%B8%D0%BB%D0%B5-%D0%BA%D0%B0%D1%80%D0%B3%D0%BE-%D1%81%D0%B2%D0%BE%D0%B1%D0%BE%D0%B4%D0%BD%D0%BE%D0%B3%D0%BE-%D0%BA%D1%80%D0%BE%D1%8F-c0p102972168.html?colorId=742;69.99РУБ
Брюки-джоггеры в стиле карго свободного кроя ;https://www.bershka.com/by/%D0%B1%D1%80%D1%8E%D0%BA%D0%B8-%D0%B4%D0%B6%D0%BE%D0%B3%D0%B3%D0%B5%D1%80%D1%8B-%D0%B2-%D1%81%D1%82%D0%B8%D0%BB%D0%B5-%D0%BA%D0%B0%D1%80%D0%B3%D0%BE-%D1%81%D0%B2%D0%BE%D0%B1%D0%BE%D0%B4%D0%BD%D0%BE%D0%B3%D0%BE-%D0%BA%D1%80%D0%BE%D1%8F-c0p102972163.html?colorId=800;69.99РУБ
Джинсы
Широкие джинсы с защипами ;https://www.bershka.com/by/%D1%88%D0%B8%D1%80%D0%BE%D0%BA%D0%B8%D0%B5-%D0%B4%D0%B6%D0%B8%D0%BD%D1%81%D1%8B-%D1%81-%D0%B7%D0%B0%D1%89%D0%B8%D0%BF%D0%B0%D0%BC%D0%B8-c0p103052624.html?colorId=400;83.30РУБ
Широкие джинсы с защипами ;https://www.bershka.com/by/%D1%88%D0%B8%D1%80%D0%BE%D0%BA%D0%B8%D0%B5-%D0%B4%D0%B6%D0%B8%D0%BD%D1%81%D1%8B-%D1%81-%D0%B7%D0%B0%D1%89%D0%B8%D0%BF%D0%B0%D0%BC%D0%B8-c0p103052637.html?colorId=800;83.30РУБ
Шорты
Обувь
